bits,granularity,symmetry,calibration,n_seeds,final_val_bpb_mean,final_val_bpb_std,final_val_loss_mean,final_val_loss_std,fp32_val_bpb_mean,delta_bpb_mean,delta_bpb_std,quant_file_MB_mean,quant_file_MB_std,config
8,per_tensor,symmetric,uncalibrated,3,1.3292735986781352,0.003220361563385219,2.24442279035998,0.005437445604312294,1.3063582461150605,0.022915352563074604,0.002158604708086666,13.803767,0.06111371420556867,8-bit / per-tensor / symmetric / uncalibrated
8,per_tensor,symmetric,percentile,3,1.3262106243623764,0.005476068522329976,2.2392510865306003,0.009246112316766359,1.306534140796093,0.019676483566283338,0.00413309520010805,14.023046,0.03868159912671668,8-bit / per-tensor / symmetric / percentile-clipped
8,per_tensor,asymmetric,uncalibrated,3,4.105208045497299,0.0,6.931471824645996,0.0,1.3066394215384667,2.798568623958832,0.001252764539885875,14.070386333333333,0.0411449689796134,8-bit / per-tensor / asymmetric / uncalibrated
8,per_tensor,asymmetric,percentile,3,4.105208045497299,0.0,6.931471824645996,0.0,1.3064125679176353,2.798795477579663,0.0015466932901239915,14.167488666666666,0.02320613359293881,8-bit / per-tensor / asymmetric / percentile-clipped
8,per_channel,symmetric,uncalibrated,3,1.3101275463623185,0.0011249690443422948,2.2120954830202595,0.0018994631083338103,1.3062806301522605,0.0038469162100581342,0.00022152250439225546,15.751135666666668,0.003501122439066591,8-bit / per-channel / symmetric / uncalibrated
8,per_channel,symmetric,percentile,3,1.3105128460130555,0.0011888700496119644,2.212746045340983,0.0020073572790273407,1.3065166317102832,0.0039962143027724535,6.455646777785811e-05,15.750204666666667,0.003972965684892363,8-bit / per-channel / symmetric / percentile-clipped
8,per_channel,asymmetric,uncalibrated,3,7.527228226752318,3.1482154894778285,12.709409558095459,5.315629980596079,1.306096494228352,6.221131732523966,3.1477624411519427,16.046713999999998,0.004814785145777038,8-bit / per-channel / asymmetric / uncalibrated
8,per_channel,asymmetric,percentile,3,15.34618700390302,9.756486403045875,25.911393930442486,16.47341860893728,1.306496546749212,14.03969045715381,9.75549213632767,16.045365666666665,0.005658542686359357,8-bit / per-channel / asymmetric / percentile-clipped
4,per_tensor,symmetric,uncalibrated,3,6.604472164441667,0.37341311785577097,11.151374599564443,0.6304924078596729,1.3064150727645814,5.298057091677085,0.3733109915663657,5.782419,0.19839411433810208,4-bit / per-tensor / symmetric / uncalibrated
4,per_tensor,symmetric,percentile,3,6.576485718499509,0.37777974562826894,11.104120657895686,0.6378652759429313,1.3063712448997562,5.270114473599753,0.37698598301821057,6.001352333333333,0.031374473084552955,4-bit / per-tensor / symmetric / percentile-clipped
4,per_tensor,asymmetric,uncalibrated,3,6.915064144008724,1.280509993215959,11.675796146894157,2.162087485161509,1.3067096932853952,5.608354450723329,1.281504567746188,6.190903666666667,0.03927406383777126,4-bit / per-tensor / asymmetric / uncalibrated
4,per_tensor,asymmetric,percentile,3,8.045438782181789,1.8683239722969238,13.584386373980172,3.1545867663128497,1.3064677776332083,6.738971004548581,1.8692627443812417,6.259384333333333,0.0320457174257864,4-bit / per-tensor / asymmetric / percentile-clipped
4,per_channel,symmetric,uncalibrated,3,2.5748583306162183,0.03279488644693108,4.347540434813534,0.055372792043681014,1.306595547985494,1.2682627826307245,0.03216338378782164,7.817289333333334,0.005503214727169192,4-bit / per-channel / symmetric / uncalibrated
4,per_channel,symmetric,percentile,3,2.6133409582554417,0.03329435601015899,4.412516739610605,0.056216125479261705,1.306563168100799,1.3067777901546425,0.03353493228662486,7.816488,0.005225260663354225,4-bit / per-channel / symmetric / percentile-clipped
4,per_channel,asymmetric,uncalibrated,3,4.509012900181295,0.55746491844061,7.613279407082012,0.9412561635305815,1.3062930408971103,3.202719859284185,0.5575427530646592,8.347866333333334,0.006334058283070512,4-bit / per-channel / asymmetric / uncalibrated
4,per_channel,asymmetric,percentile,3,4.287840411022559,0.30107563247056396,7.239838923676527,0.5083535938808635,1.306647379333293,2.981193031689267,0.3003140788706072,8.34679,0.0006534653778120374,4-bit / per-channel / asymmetric / percentile-clipped
